time,M,T,W,R,F,S,Su
06:10AM,0,0,0,4,0,0,0
06:11AM,0,0,0,4,0,0,0
06:12AM,0,0,0,4,0,0,0
06:13AM,0,0,0,3,0,0,0
06:14AM,0,0,0,3,0,0,0
06:15AM,0,0,0,3,0,0,0
06:16AM,0,0,0,2,0,0,0
06:17AM,0,0,0,2,0,0,0
06:18AM,0,0,0,1,0,0,0
06:19AM,0,0,0,1,0,0,0
06:20AM,0,0,0,1,0,0,0
06:21AM,0,0,0,1,0,0,0
06:22AM,0,0,0,1,0,0,0
06:23AM,0,0,0,1,0,0,0
06:24AM,0,0,0,1,0,0,0
06:25AM,0,0,0,1,0,0,0
06:42AM,1,0,1,0,0,0,0
06:43AM,1,0,1,0,0,0,0
06:44AM,1,0,1,0,0,0,0
06:45AM,1,0,1,0,0,0,0
06:46AM,1,0,1,0,0,0,0
06:47AM,1,0,1,0,0,0,0
06:48AM,1,0,1,0,0,0,0
06:49AM,1,0,1,0,0,0,0
06:50AM,2,0,2,0,0,0,0
06:51AM,2,0,2,0,0,0,0
06:52AM,2,0,2,0,0,0,0
06:53AM,3,0,3,0,0,0,0
06:54AM,3,0,3,0,0,0,0
06:55AM,3,0,3,0,0,0,0
06:56AM,3,0,3,0,0,0,0
06:57AM,3,0,3,0,0,0,0
06:58AM,3,0,3,0,0,0,0
06:59AM,3,0,3,0,0,0,0
07:00AM,3,0,3,0,0,0,0
07:01AM,3,0,3,0,0,0,0
07:02AM,2,0,2,0,0,0,0
07:03AM,2,0,2,0,0,0,0
07:04AM,2,0,2,0,0,0,0
07:05AM,1,0,1,0,0,0,0
07:06AM,1,0,1,0,0,0,0
07:07AM,1,0,1,0,0,0,0
07:08AM,1,0,1,0,0,0,0
07:09AM,1,0,1,0,0,0,0
07:10AM,1,0,1,0,0,0,0
07:11AM,1,0,1,0,0,0,0
07:12AM,1,0,1,0,0,0,0
07:37AM,0,0,0,0,0,0,0
07:38AM,0,0,0,0,0,0,0
07:39AM,0,0,0,0,0,0,0
07:40AM,0,1,1,1,0,0,0
07:41AM,0,1,1,1,0,0,0
07:42AM,1,1,1,1,0,0,0
07:43AM,1,1,1,1,1,0,0
07:44AM,1,1,1,1,1,0,0
07:45AM,1,1,2,2,1,0,0
07:46AM,2,1,3,2,1,0,0
07:47AM,2,1,4,3,2,0,0
07:48AM,3,1,5,4,2,0,0
07:49AM,4,2,7,5,3,0,0
07:50AM,6,2,9,6,4,0,0
07:51AM,8,2,11,7,5,0,0
07:52AM,10,3,14,8,6,0,0
07:53AM,11,3,16,9,7,0,0
07:54AM,13,4,19,10,9,0,0
